Year,Jurisdiction,RaceEth,Gender,Mean,SE
2003,Alabama,Black,All,236.9,1.96
2003,Alabama,Hispanic,All,NA,NA
2003,Alabama,Black,Female,245.41,2.52
2003,Alabama,Hispanic,Female,NA,NA
2003,Alabama,Black,Male,228.08,2.34
2003,Alabama,Hispanic,Male,NA,NA
2003,Alaska,Black,All,248.92,3.58
2003,Alaska,Hispanic,All,246.43,3.58
2003,Alaska,Black,Female,NA,NA
2003,Alaska,Hispanic,Female,NA,NA
2003,Alaska,Black,Male,NA,NA
2003,Alaska,Hispanic,Male,NA,NA
2003,Arizona,Black,All,244.8,3.9699999999999998
2003,Arizona,Hispanic,All,240.03,1.94
2003,Arizona,Black,Female,248.12,5.48
2003,Arizona,Hispanic,Female,244.1,2.63
2003,Arizona,Black,Male,NA,NA
2003,Arizona,Hispanic,Male,236.06,2.22
2003,Arkansas,Black,All,232.28,2.11
2003,Arkansas,Hispanic,All,256.8,4.76
2003,Arkansas,Black,Female,238.35,2.25
2003,Arkansas,Hispanic,Female,NA,NA
2003,Arkansas,Black,Male,225.6,2.6
2003,Arkansas,Hispanic,Male,NA,NA
2003,California,Black,All,239.19,2.48
2003,California,Hispanic,All,236.53,1.6400000000000001
2003,California,Black,Female,243.21,3.67
2003,California,Hispanic,Female,239.89,1.74
2003,California,Black,Male,234.91,3.53
2003,California,Hispanic,Male,233.38,1.91
2003,Colorado,Black,All,248.56,3.16
2003,Colorado,Hispanic,All,247.37,2.13
2003,Colorado,Black,Female,253.71,3.4099999999999997
2003,Colorado,Hispanic,Female,250.96,2.9699999999999998
2003,Colorado,Black,Male,242.51,6.33
2003,Colorado,Hispanic,Male,243.62,2.53
2003,Connecticut,Black,All,244.21,2.25
2003,Connecticut,Hispanic,All,243.8,3.1
2003,Connecticut,Black,Female,246.95,3.2
2003,Connecticut,Hispanic,Female,248.82,3.8
2003,Connecticut,Black,Male,240.8,3.13
2003,Connecticut,Hispanic,Male,239.15,3.54
2003,Delaware,Black,All,248.44,1.74
2003,Delaware,Hispanic,All,245.96,3.22
2003,Delaware,Black,Female,253.4,2.03
2003,Delaware,Hispanic,Female,249.69,4.33
2003,Delaware,Black,Male,243.17,2.08
2003,Delaware,Hispanic,Male,242.1,4.46
2003,District of Columbia,Black,All,236.06,0.72
2003,District of Columbia,Hispanic,All,239.72,2.72
2003,District of Columbia,Black,Female,243.01,1.1600000000000001
2003,District of Columbia,Hispanic,Female,246.45,4.4
2003,District of Columbia,Black,Male,228.3,1.23
2003,District of Columbia,Hispanic,Male,233.84,3.9099999999999997
2003,DoDEA,Black,All,258.46,1.48
2003,DoDEA,Hispanic,All,268.33,1.84
2003,DoDEA,Black,Female,264.11,2.14
2003,DoDEA,Hispanic,Female,271.58,2.34
2003,DoDEA,Black,Male,253.08,1.6700000000000002
2003,DoDEA,Hispanic,Male,264.9,2.98
2003,Florida,Black,All,239.16,2.13
2003,Florida,Hispanic,All,251.09,2.34
2003,Florida,Black,Female,246.57,2.9299999999999997
2003,Florida,Hispanic,Female,255.69,3.1
2003,Florida,Black,Male,231.38,2.2800000000000002
2003,Florida,Hispanic,Male,245.97,3.3499999999999996
2003,Georgia,Black,All,243.75,1.71
2003,Georgia,Hispanic,All,244.87,3.94
2003,Georgia,Black,Female,251.68,2.02
2003,Georgia,Hispanic,Female,NA,NA
2003,Georgia,Black,Male,235.23,1.92
2003,Georgia,Hispanic,Male,244.37,4.78
2003,Hawaii,Black,All,NA,NA
2003,Hawaii,Hispanic,All,248.79,7.6
2003,Hawaii,Black,Female,NA,NA
2003,Hawaii,Hispanic,Female,NA,NA
2003,Hawaii,Black,Male,NA,NA
2003,Hawaii,Hispanic,Male,NA,NA
2003,Idaho,Black,All,NA,NA
2003,Idaho,Hispanic,All,242.49,2.7600000000000002
2003,Idaho,Black,Female,NA,NA
2003,Idaho,Hispanic,Female,251.45,3.54
2003,Idaho,Black,Male,NA,NA
2003,Idaho,Hispanic,Male,235.4,3.4099999999999997
2003,Illinois,Black,All,246.79,1.6500000000000001
2003,Illinois,Hispanic,All,249.76,1.6700000000000002
2003,Illinois,Black,Female,248.85,1.94
2003,Illinois,Hispanic,Female,251.97,2.4
2003,Illinois,Black,Male,244.25,2.17
2003,Illinois,Hispanic,Male,247.43,1.75
2003,Indiana,Black,All,244.36,3.2600000000000002
2003,Indiana,Hispanic,All,246.55,5.07
2003,Indiana,Black,Female,249.64,3.27
2003,Indiana,Hispanic,Female,NA,NA
2003,Indiana,Black,Male,238.04,4.76
2003,Indiana,Hispanic,Male,NA,NA
2003,Iowa,Black,All,244.95,3.2800000000000002
2003,Iowa,Hispanic,All,244.22,4.1
2003,Iowa,Black,Female,NA,NA
2003,Iowa,Hispanic,Female,NA,NA
2003,Iowa,Black,Male,NA,NA
2003,Iowa,Hispanic,Male,NA,NA
2003,Kansas,Black,All,243.21,3.14
2003,Kansas,Hispanic,All,244.77,3.77
2003,Kansas,Black,Female,248.61,4.48
2003,Kansas,Hispanic,Female,253.35,4.64
2003,Kansas,Black,Male,238.62,3.68
2003,Kansas,Hispanic,Male,234.36,4.33
2003,Kentucky,Black,All,244.57,2.73
2003,Kentucky,Hispanic,All,NA,NA
2003,Kentucky,Black,Female,248.02,3.59
2003,Kentucky,Hispanic,Female,NA,NA
2003,Kentucky,Black,Male,241.1,3.69
2003,Kentucky,Hispanic,Male,NA,NA
2003,Louisiana,Black,All,238.36,2.01
2003,Louisiana,Hispanic,All,NA,NA
2003,Louisiana,Black,Female,243.58,2.3099999999999996
2003,Louisiana,Hispanic,Female,NA,NA
2003,Louisiana,Black,Male,232.36,2.38
2003,Louisiana,Hispanic,Male,NA,NA
2003,Maine,Black,All,NA,NA
2003,Maine,Hispanic,All,NA,NA
2003,Maine,Black,Female,NA,NA
2003,Maine,Hispanic,Female,NA,NA
2003,Maine,Black,Male,NA,NA
2003,Maine,Hispanic,Male,NA,NA
2003,Maryland,Black,All,245.01,1.9
2003,Maryland,Hispanic,All,250.91,3.8899999999999997
2003,Maryland,Black,Female,253.04,2.3
2003,Maryland,Hispanic,Female,256.95,5.37
2003,Maryland,Black,Male,237,2.3099999999999996
2003,Maryland,Hispanic,Male,245.21,4.430000000000001
2003,Massachusetts,Black,All,251.74,2.38
2003,Massachusetts,Hispanic,All,246.26,2.84
2003,Massachusetts,Black,Female,255.75,3.79
2003,Massachusetts,Hispanic,Female,253.24,2.96
2003,Massachusetts,Black,Male,247.2,2.61
2003,Massachusetts,Hispanic,Male,238.07,4.24
2003,Michigan,Black,All,241.67,4.54
2003,Michigan,Hispanic,All,256.53,3.4099999999999997
2003,Michigan,Black,Female,247.89,4.2700000000000005
2003,Michigan,Hispanic,Female,NA,NA
2003,Michigan,Black,Male,235.34,5.31
2003,Michigan,Hispanic,Male,NA,NA
2003,Minnesota,Black,All,243.02,3.68
2003,Minnesota,Hispanic,All,240.22,5.26
2003,Minnesota,Black,Female,246.57,4.5
2003,Minnesota,Hispanic,Female,NA,NA
2003,Minnesota,Black,Male,239.19,4.54
2003,Minnesota,Hispanic,Male,NA,NA
2003,Mississippi,Black,All,242.51,1.47
2003,Mississippi,Hispanic,All,NA,NA
2003,Mississippi,Black,Female,247.8,1.56
2003,Mississippi,Hispanic,Female,NA,NA
2003,Mississippi,Black,Male,236.67,1.77
2003,Mississippi,Hispanic,Male,NA,NA
2003,Missouri,Black,All,243.45,1.75
2003,Missouri,Hispanic,All,NA,NA
2003,Missouri,Black,Female,246.92,2.92
2003,Missouri,Hispanic,Female,NA,NA
2003,Missouri,Black,Male,239.89,2.12
2003,Missouri,Hispanic,Male,NA,NA
2003,Montana,Black,All,NA,NA
2003,Montana,Hispanic,All,NA,NA
2003,Montana,Black,Female,NA,NA
2003,Montana,Hispanic,Female,NA,NA
2003,Montana,Black,Male,NA,NA
2003,Montana,Hispanic,Male,NA,NA
2003,National public,Black,All,243.6,0.51
2003,National public,Hispanic,All,243.8,0.73
2003,National public,Black,Female,249.24,0.5700000000000001
2003,National public,Hispanic,Female,247.89,0.81
2003,National public,Black,Male,237.6,0.63
2003,National public,Hispanic,Male,239.86,0.8400000000000001
2003,Nebraska,Black,All,239.02,3.11
2003,Nebraska,Hispanic,All,240.69,3.11
2003,Nebraska,Black,Female,245.94,4.34
2003,Nebraska,Hispanic,Female,243.79,4.34
2003,Nebraska,Black,Male,232.05,4.53
2003,Nebraska,Hispanic,Male,237.02,3.68
2003,Nevada,Black,All,232.99,2.68
2003,Nevada,Hispanic,All,236.97,1.22
2003,Nevada,Black,Female,239.77,3.68
2003,Nevada,Hispanic,Female,239.37,1.73
2003,Nevada,Black,Male,226.62,3.36
2003,Nevada,Hispanic,Male,234.43,2.07
2003,New Hampshire,Black,All,NA,NA
2003,New Hampshire,Hispanic,All,NA,NA
2003,New Hampshire,Black,Female,NA,NA
2003,New Hampshire,Hispanic,Female,NA,NA
2003,New Hampshire,Black,Male,NA,NA
2003,New Hampshire,Hispanic,Male,NA,NA
2003,New Jersey,Black,All,247.65,2.06
2003,New Jersey,Hispanic,All,248.43,2.4299999999999997
2003,New Jersey,Black,Female,254.39,2.3499999999999996
2003,New Jersey,Hispanic,Female,250.03,3.15
2003,New Jersey,Black,Male,240.29,2.6
2003,New Jersey,Hispanic,Male,246.91,3.73
2003,New Mexico,Black,All,246.32,3.3899999999999997
2003,New Mexico,Hispanic,All,242.89,1.04
2003,New Mexico,Black,Female,NA,NA
2003,New Mexico,Hispanic,Female,248.85,1.35
2003,New Mexico,Black,Male,NA,NA
2003,New Mexico,Hispanic,Male,236.84,1.47
2003,New York,Black,All,245.7,2.13
2003,New York,Hispanic,All,249.64,2.44
2003,New York,Black,Female,251.19,2.44
2003,New York,Hispanic,Female,254.48,2.73
2003,New York,Black,Male,239.64,2.51
2003,New York,Hispanic,Male,244,3.2
2003,North Carolina,Black,All,246.92,1.37
2003,North Carolina,Hispanic,All,243.79,3.69
2003,North Carolina,Black,Female,252.34,1.55
2003,North Carolina,Hispanic,Female,250.62,7.31
2003,North Carolina,Black,Male,240.98,1.99
2003,North Carolina,Hispanic,Male,239.8,3.92
2003,North Dakota,Black,All,NA,NA
2003,North Dakota,Hispanic,All,NA,NA
2003,North Dakota,Black,Female,NA,NA
2003,North Dakota,Hispanic,Female,NA,NA
2003,North Dakota,Black,Male,NA,NA
2003,North Dakota,Hispanic,Male,NA,NA
2003,Ohio,Black,All,248.85,1.6400000000000001
2003,Ohio,Hispanic,All,267.98,5.14
2003,Ohio,Black,Female,252.7,1.98
2003,Ohio,Hispanic,Female,NA,NA
2003,Ohio,Black,Male,244.16,2.08
2003,Ohio,Hispanic,Male,NA,NA
2003,Oklahoma,Black,All,240.33,4.02
2003,Oklahoma,Hispanic,All,250.44,2.8
2003,Oklahoma,Black,Female,245.76,4.859999999999999
2003,Oklahoma,Hispanic,Female,255.79,3.11
2003,Oklahoma,Black,Male,234.88,4.54
2003,Oklahoma,Hispanic,Male,244.98,4.18
2003,Oregon,Black,All,251.45,4.2
2003,Oregon,Hispanic,All,249.25,2.74
2003,Oregon,Black,Female,NA,NA
2003,Oregon,Hispanic,Female,254.04,3.82
2003,Oregon,Black,Male,NA,NA
2003,Oregon,Hispanic,Male,243.83,3.5
2003,Pennsylvania,Black,All,243.25,2.52
2003,Pennsylvania,Hispanic,All,257.35,6.03
2003,Pennsylvania,Black,Female,247.55,2.8
2003,Pennsylvania,Hispanic,Female,NA,NA
2003,Pennsylvania,Black,Male,238.95,3.5
2003,Pennsylvania,Hispanic,Male,NA,NA
2003,Rhode Island,Black,All,241.25,2.77
2003,Rhode Island,Hispanic,All,237.87,1.94
2003,Rhode Island,Black,Female,244.82,3.7
2003,Rhode Island,Hispanic,Female,245.39,2.8499999999999996
2003,Rhode Island,Black,Male,236.39,4.1
2003,Rhode Island,Hispanic,Male,230.03,2.54
2003,South Carolina,Black,All,243.8,1.6500000000000001
2003,South Carolina,Hispanic,All,NA,NA
2003,South Carolina,Black,Female,246.47,2.18
2003,South Carolina,Hispanic,Female,NA,NA
2003,South Carolina,Black,Male,241.08,2.06
2003,South Carolina,Hispanic,Male,NA,NA
2003,South Dakota,Black,All,NA,NA
2003,South Dakota,Hispanic,All,NA,NA
2003,South Dakota,Black,Female,NA,NA
2003,South Dakota,Hispanic,Female,NA,NA
2003,South Dakota,Black,Male,NA,NA
2003,South Dakota,Hispanic,Male,NA,NA
2003,Tennessee,Black,All,238.82,2.02
2003,Tennessee,Hispanic,All,NA,NA
2003,Tennessee,Black,Female,246.49,2.12
2003,Tennessee,Hispanic,Female,NA,NA
2003,Tennessee,Black,Male,231.15,2.73
2003,Tennessee,Hispanic,Male,NA,NA
2003,Texas,Black,All,246.53,2.16
2003,Texas,Hispanic,All,247.39,1.3
2003,Texas,Black,Female,254.08,2.73
2003,Texas,Hispanic,Female,251.67,1.47
2003,Texas,Black,Male,239.49,2.8699999999999997
2003,Texas,Hispanic,Male,243.47,1.8800000000000001
2003,Utah,Black,All,NA,NA
2003,Utah,Hispanic,All,241.03,2.92
2003,Utah,Black,Female,NA,NA
2003,Utah,Hispanic,Female,244,4.58
2003,Utah,Black,Male,NA,NA
2003,Utah,Hispanic,Male,238.39,3.67
2003,Vermont,Black,All,NA,NA
2003,Vermont,Hispanic,All,NA,NA
2003,Vermont,Black,Female,NA,NA
2003,Vermont,Hispanic,Female,NA,NA
2003,Vermont,Black,Male,NA,NA
2003,Vermont,Hispanic,Male,NA,NA
2003,Virginia,Black,All,250.32,1.42
2003,Virginia,Hispanic,All,265.56,3.19
2003,Virginia,Black,Female,253.53,1.84
2003,Virginia,Hispanic,Female,NA,NA
2003,Virginia,Black,Male,246.88,2.08
2003,Virginia,Hispanic,Male,NA,NA
2003,Washington,Black,All,250.56,3.3299999999999996
2003,Washington,Hispanic,All,246.09,2.59
2003,Washington,Black,Female,257.14,4.1899999999999995
2003,Washington,Hispanic,Female,244.54,3.1
2003,Washington,Black,Male,243.88,4.31
2003,Washington,Hispanic,Male,247.53,4.54
2003,West Virginia,Black,All,248.31,2.9099999999999997
2003,West Virginia,Hispanic,All,NA,NA
2003,West Virginia,Black,Female,NA,NA
2003,West Virginia,Hispanic,Female,NA,NA
2003,West Virginia,Black,Male,NA,NA
2003,West Virginia,Hispanic,Male,NA,NA
2003,Wisconsin,Black,All,233.84,4.38
2003,Wisconsin,Hispanic,All,243.94,5.04
2003,Wisconsin,Black,Female,243.46,4.6499999999999995
2003,Wisconsin,Hispanic,Female,NA,NA
2003,Wisconsin,Black,Male,226.65,4.53
2003,Wisconsin,Hispanic,Male,NA,NA
2003,Wyoming,Black,All,NA,NA
2003,Wyoming,Hispanic,All,254.98,2.71
2003,Wyoming,Black,Female,NA,NA
2003,Wyoming,Hispanic,Female,264.21,4.119999999999999
2003,Wyoming,Black,Male,NA,NA
2003,Wyoming,Hispanic,Male,246.52,3.16
2005,Alabama,Black,All,234.7,1.91
2005,Alabama,Hispanic,All,NA,NA
2005,Alabama,Black,Female,243.76,2.25
2005,Alabama,Hispanic,Female,NA,NA
2005,Alabama,Black,Male,225.36,2.38
2005,Alabama,Hispanic,Male,NA,NA
2005,Alaska,Black,All,248.85,3.7600000000000002
2005,Alaska,Hispanic,All,253.82,4.13
2005,Alaska,Black,Female,258.2,4.56
2005,Alaska,Hispanic,Female,NA,NA
2005,Alaska,Black,Male,239.06,4.6499999999999995
2005,Alaska,Hispanic,Male,NA,NA
2005,Arizona,Black,All,242.27,4.05
2005,Arizona,Hispanic,All,242.07,1.5
2005,Arizona,Black,Female,255.34,4.22
2005,Arizona,Hispanic,Female,246.29,1.99
2005,Arizona,Black,Male,230.88,5.18
2005,Arizona,Hispanic,Male,238.28,2.18
2005,Arkansas,Black,All,236.24,1.95
2005,Arkansas,Hispanic,All,249.96,3.7
2005,Arkansas,Black,Female,242.28,2.38
2005,Arkansas,Hispanic,Female,NA,NA
2005,Arkansas,Black,Male,230.02,2.36
2005,Arkansas,Hispanic,Male,NA,NA
2005,California,Black,All,240.06,1.62
2005,California,Hispanic,All,238.57,0.77
2005,California,Black,Female,242.85,2.14
2005,California,Hispanic,Female,242.78,0.91
2005,California,Black,Male,237.41,2.02
2005,California,Hispanic,Male,234.27,1.03
2005,Colorado,Black,All,254.16,3.8699999999999997
2005,Colorado,Hispanic,All,246.51,1.8800000000000001
2005,Colorado,Black,Female,257.7,4.52
2005,Colorado,Hispanic,Female,249.67,2.52
2005,Colorado,Black,Male,250.33,4.95
2005,Colorado,Hispanic,Male,243.59,1.99
2005,Connecticut,Black,All,240.15,3.3099999999999996
2005,Connecticut,Hispanic,All,244.6,3.86
2005,Connecticut,Black,Female,246.91,3.4299999999999997
2005,Connecticut,Hispanic,Female,246.76,3.94
2005,Connecticut,Black,Male,233.78,4.159999999999999
2005,Connecticut,Hispanic,Male,242.69,4.46
2005,Delaware,Black,All,252.39,1.1600000000000001
2005,Delaware,Hispanic,All,253.43,2.7
2005,Delaware,Black,Female,257.88,1.6800000000000002
2005,Delaware,Hispanic,Female,258.29,3.59
2005,Delaware,Black,Male,246.1,1.83
2005,Delaware,Hispanic,Male,247.42,4.49
2005,District of Columbia,Black,All,234.94,0.9
2005,District of Columbia,Hispanic,All,247.47,3.21
2005,District of Columbia,Black,Female,241.97,1.43
2005,District of Columbia,Hispanic,Female,251.49,4.18
2005,District of Columbia,Black,Male,227.14,1.41
2005,District of Columbia,Hispanic,Male,NA,NA
2005,DoDEA,Black,All,258.18,1.58
2005,DoDEA,Hispanic,All,267.53,2.25
2005,DoDEA,Black,Female,265.23,2.46
2005,DoDEA,Hispanic,Female,273.5,3.11
2005,DoDEA,Black,Male,252.42,2.19
2005,DoDEA,Hispanic,Male,261.25,2.84
2005,Florida,Black,All,238.22,1.74
2005,Florida,Hispanic,All,251.66,1.91
2005,Florida,Black,Female,245.37,2.34
2005,Florida,Hispanic,Female,259.74,2.3299999999999996
2005,Florida,Black,Male,230.69,2.04
2005,Florida,Hispanic,Male,243.79,2.44
2005,Georgia,Black,All,240.74,1.3
2005,Georgia,Hispanic,All,247.46,3.42
2005,Georgia,Black,Female,248.12,1.46
2005,Georgia,Hispanic,Female,250.12,3.8699999999999997
2005,Georgia,Black,Male,233.18,1.6800000000000002
2005,Georgia,Hispanic,Male,244.13,5.05
2005,Hawaii,Black,All,NA,NA
2005,Hawaii,Hispanic,All,241.83,4.359999999999999
2005,Hawaii,Black,Female,NA,NA
2005,Hawaii,Hispanic,Female,NA,NA
2005,Hawaii,Black,Male,NA,NA
2005,Hawaii,Hispanic,Male,NA,NA
2005,Idaho,Black,All,NA,NA
2005,Idaho,Hispanic,All,246.47,2.06
2005,Idaho,Black,Female,NA,NA
2005,Idaho,Hispanic,Female,252.64,2.51
2005,Idaho,Black,Male,NA,NA
2005,Idaho,Hispanic,Male,239.84,2.55
2005,Illinois,Black,All,243.85,2.01
2005,Illinois,Hispanic,All,253.3,1.61
2005,Illinois,Black,Female,248.58,2.1
2005,Illinois,Hispanic,Female,259.42,2.1
2005,Illinois,Black,Male,238.91,2.64
2005,Illinois,Hispanic,Male,247.41,2.23
2005,Indiana,Black,All,240.51,2.8099999999999996
2005,Indiana,Hispanic,All,246.68,4.94
2005,Indiana,Black,Female,243.21,3.27
2005,Indiana,Hispanic,Female,NA,NA
2005,Indiana,Black,Male,237.41,3.71
2005,Indiana,Hispanic,Male,NA,NA
2005,Iowa,Black,All,245.59,3.42
2005,Iowa,Hispanic,All,255.6,3.92
2005,Iowa,Black,Female,NA,NA
2005,Iowa,Hispanic,Female,NA,NA
2005,Iowa,Black,Male,NA,NA
2005,Iowa,Hispanic,Male,NA,NA
2005,Kansas,Black,All,246.91,2.23
2005,Kansas,Hispanic,All,248.64,2.59
2005,Kansas,Black,Female,250.74,3.7
2005,Kansas,Hispanic,Female,251.45,3.3
2005,Kansas,Black,Male,243.01,2.51
2005,Kansas,Hispanic,Male,245.9,3.54
2005,Kentucky,Black,All,247.65,3.07
2005,Kentucky,Hispanic,All,NA,NA
2005,Kentucky,Black,Female,253.57,3.2800000000000002
2005,Kentucky,Hispanic,Female,NA,NA
2005,Kentucky,Black,Male,241.54,3.66
2005,Kentucky,Hispanic,Male,NA,NA
2005,Louisiana,Black,All,239.8,1.93
2005,Louisiana,Hispanic,All,NA,NA
2005,Louisiana,Black,Female,245.16,1.93
2005,Louisiana,Hispanic,Female,NA,NA
2005,Louisiana,Black,Male,234.11,2.36
2005,Louisiana,Hispanic,Male,NA,NA
2005,Maine,Black,All,NA,NA
2005,Maine,Hispanic,All,NA,NA
2005,Maine,Black,Female,NA,NA
2005,Maine,Hispanic,Female,NA,NA
2005,Maine,Black,Male,NA,NA
2005,Maine,Hispanic,Male,NA,NA
2005,Maryland,Black,All,243.82,1.78
2005,Maryland,Hispanic,All,256.48,4.7700000000000005
2005,Maryland,Black,Female,249.69,1.85
2005,Maryland,Hispanic,Female,NA,NA
2005,Maryland,Black,Male,237.43,2.3
2005,Maryland,Hispanic,Male,254.19,6.35
2005,Massachusetts,Black,All,253.06,1.99
2005,Massachusetts,Hispanic,All,246.44,2.59
2005,Massachusetts,Black,Female,255.45,3.25
2005,Massachusetts,Hispanic,Female,251.36,3.58
2005,Massachusetts,Black,Male,250.56,2.18
2005,Massachusetts,Hispanic,Male,241.13,3.3099999999999996
2005,Michigan,Black,All,238.55,2.1
2005,Michigan,Hispanic,All,249.84,4.1499999999999995
2005,Michigan,Black,Female,244.99,2.4699999999999998
2005,Michigan,Hispanic,Female,NA,NA
2005,Michigan,Black,Male,231.39,2.84
2005,Michigan,Hispanic,Male,NA,NA
2005,Minnesota,Black,All,239.14,4.05
2005,Minnesota,Hispanic,All,244.06,5.119999999999999
2005,Minnesota,Black,Female,249.33,5.04
2005,Minnesota,Hispanic,Female,NA,NA
2005,Minnesota,Black,Male,229.27,5.1
2005,Minnesota,Hispanic,Male,NA,NA
2005,Mississippi,Black,All,236.88,1.48
2005,Mississippi,Hispanic,All,NA,NA
2005,Mississippi,Black,Female,241.25,1.92
2005,Mississippi,Hispanic,Female,NA,NA
2005,Mississippi,Black,Male,232.11,1.73
2005,Mississippi,Hispanic,Male,NA,NA
2005,Missouri,Black,All,242.13,1.82
2005,Missouri,Hispanic,All,257.57,6.01
2005,Missouri,Black,Female,248.65,2.3899999999999997
2005,Missouri,Hispanic,Female,NA,NA
2005,Missouri,Black,Male,235.21,2.8699999999999997
2005,Missouri,Hispanic,Male,NA,NA
2005,Montana,Black,All,NA,NA
2005,Montana,Hispanic,All,NA,NA
2005,Montana,Black,Female,NA,NA
2005,Montana,Hispanic,Female,NA,NA
2005,Montana,Black,Male,NA,NA
2005,Montana,Hispanic,Male,NA,NA
2005,National public,Black,All,242.03,0.44
2005,National public,Hispanic,All,244.94,0.44
2005,National public,Black,Female,248.07,0.49
2005,National public,Hispanic,Female,249.3,0.58
2005,National public,Black,Male,235.73,0.51
2005,National public,Hispanic,Male,240.58,0.51
2005,Nebraska,Black,All,243.03,2.4899999999999998
2005,Nebraska,Hispanic,All,245.19,2.02
2005,Nebraska,Black,Female,248.93,3.3899999999999997
2005,Nebraska,Hispanic,Female,250.45,2.7800000000000002
2005,Nebraska,Black,Male,236.42,4.1499999999999995
2005,Nebraska,Hispanic,Male,239,3.56
2005,Nevada,Black,All,239.83,3.58
2005,Nevada,Hispanic,All,241.26,1.1400000000000001
2005,Nevada,Black,Female,249.44,4.24
2005,Nevada,Hispanic,Female,243.89,1.55
2005,Nevada,Black,Male,230.53,4.76
2005,Nevada,Hispanic,Male,238.79,2.06
2005,New Hampshire,Black,All,NA,NA
2005,New Hampshire,Hispanic,All,NA,NA
2005,New Hampshire,Black,Female,NA,NA
2005,New Hampshire,Hispanic,Female,NA,NA
2005,New Hampshire,Black,Male,NA,NA
2005,New Hampshire,Hispanic,Male,NA,NA
2005,New Jersey,Black,All,250.51,2.77
2005,New Jersey,Hispanic,All,251.28,2.11
2005,New Jersey,Black,Female,255.19,3.08
2005,New Jersey,Hispanic,Female,252.96,2.57
2005,New Jersey,Black,Male,245.02,2.9499999999999997
2005,New Jersey,Hispanic,Male,249.64,2.98
2005,New Mexico,Black,All,NA,NA
2005,New Mexico,Hispanic,All,244.68,1.1400000000000001
2005,New Mexico,Black,Female,NA,NA
2005,New Mexico,Hispanic,Female,247.98,1.36
2005,New Mexico,Black,Male,NA,NA
2005,New Mexico,Hispanic,Male,241.6,1.56
2005,New York,Black,All,242.47,2.05
2005,New York,Hispanic,All,250.48,1.76
2005,New York,Black,Female,247.75,2.24
2005,New York,Hispanic,Female,255.87,1.84
2005,New York,Black,Male,237.13,2.64
2005,New York,Hispanic,Male,245.08,2.4699999999999998
2005,North Carolina,Black,All,239.82,1.62
2005,North Carolina,Hispanic,All,247.5,2.9499999999999997
2005,North Carolina,Black,Female,247.61,2
2005,North Carolina,Hispanic,Female,255.62,4.21
2005,North Carolina,Black,Male,232.68,2.06
2005,North Carolina,Hispanic,Male,240.7,4.619999999999999
2005,North Dakota,Black,All,NA,NA
2005,North Dakota,Hispanic,All,NA,NA
2005,North Dakota,Black,Female,NA,NA
2005,North Dakota,Hispanic,Female,NA,NA
2005,North Dakota,Black,Male,NA,NA
2005,North Dakota,Hispanic,Male,NA,NA
2005,Ohio,Black,All,242.7,2.6
2005,Ohio,Hispanic,All,245.2,4.49
2005,Ohio,Black,Female,248.68,2.98
2005,Ohio,Hispanic,Female,NA,NA
2005,Ohio,Black,Male,236.18,2.7800000000000002
2005,Ohio,Hispanic,Male,NA,NA
2005,Oklahoma,Black,All,242.97,2.71
2005,Oklahoma,Hispanic,All,246.87,2.44
2005,Oklahoma,Black,Female,251.11,3.4299999999999997
2005,Oklahoma,Hispanic,Female,252.3,3.19
2005,Oklahoma,Black,Male,234.23,2.9
2005,Oklahoma,Hispanic,Male,241.91,3.9099999999999997
2005,Oregon,Black,All,244.89,3.8
2005,Oregon,Hispanic,All,244.65,3.09
2005,Oregon,Black,Female,NA,NA
2005,Oregon,Hispanic,Female,249.87,4
2005,Oregon,Black,Male,NA,NA
2005,Oregon,Hispanic,Male,239.67,4.24
2005,Pennsylvania,Black,All,239.38,3.9
2005,Pennsylvania,Hispanic,All,246.09,6.79
2005,Pennsylvania,Black,Female,247.35,3.8299999999999996
2005,Pennsylvania,Hispanic,Female,252.77,6.21
2005,Pennsylvania,Black,Male,231.22,4.159999999999999
2005,Pennsylvania,Hispanic,Male,NA,NA
2005,Rhode Island,Black,All,242.91,2.36
2005,Rhode Island,Hispanic,All,236.57,2.58
2005,Rhode Island,Black,Female,248.05,3.32
2005,Rhode Island,Hispanic,Female,238.42,3.15
2005,Rhode Island,Black,Male,237.84,3.57
2005,Rhode Island,Hispanic,Male,234.21,3.42
2005,South Carolina,Black,All,242.45,1.28
2005,South Carolina,Hispanic,All,NA,NA
2005,South Carolina,Black,Female,246.99,1.47
2005,South Carolina,Hispanic,Female,NA,NA
2005,South Carolina,Black,Male,237,1.96
2005,South Carolina,Hispanic,Male,NA,NA
2005,South Dakota,Black,All,NA,NA
2005,South Dakota,Hispanic,All,NA,NA
2005,South Dakota,Black,Female,NA,NA
2005,South Dakota,Hispanic,Female,NA,NA
2005,South Dakota,Black,Male,NA,NA
2005,South Dakota,Hispanic,Male,NA,NA
2005,Tennessee,Black,All,240.07,1.84
2005,Tennessee,Hispanic,All,NA,NA
2005,Tennessee,Black,Female,244.18,2.2800000000000002
2005,Tennessee,Hispanic,Female,NA,NA
2005,Tennessee,Black,Male,235.64,2.16
2005,Tennessee,Hispanic,Male,NA,NA
2005,Texas,Black,All,246.13,1.71
2005,Texas,Hispanic,All,248.08,0.88
2005,Texas,Black,Female,253.83,2.22
2005,Texas,Hispanic,Female,251.43,1.02
2005,Texas,Black,Male,238.2,2.01
2005,Texas,Hispanic,Male,244.54,1.27
